"GEOID","STATE","COUNTY","TOTAL_POPULATION","DISADVANTAGED_POPULATION","PCT_DISADVANTAGED"
37063,North Carolina,Durham County,311848,92012,0.295054000666992
37045,North Carolina,Cleveland County,97282,62446,0.641907033161325
37049,North Carolina,Craven County,102491,40974,0.399781444224371
37119,North Carolina,Mecklenburg County,1074475,275043,0.255978966471998
37183,North Carolina,Wake County,1069079,122185,0.114289963604186
37107,North Carolina,Lenoir County,56756,43093,0.759267742617521
37145,North Carolina,Person County,39345,19133,0.486287965433981
37059,North Carolina,Davie County,42257,10647,0.251958255436969
37195,North Carolina,Wilson County,81435,57676,0.708245840240683
37113,North Carolina,Macon County,34813,12345,0.354608910464482
37147,North Carolina,Pitt County,178433,68357,0.383096176155756
37097,North Carolina,Iredell County,175538,30979,0.176480306258474
37129,North Carolina,New Hanover County,227938,66862,0.293334152269477
37139,North Carolina,Pasquotank County,39514,16660,0.421622715999393
37167,North Carolina,Stanly County,61588,16408,0.266415535493927
37071,North Carolina,Gaston County,219271,77270,0.352394981552508
37089,North Carolina,Henderson County,114913,24099,0.20971517582867
37191,North Carolina,Wayne County,123603,72910,0.589872414099981
37023,North Carolina,Burke County,89968,77858,0.865396585452605
37077,North Carolina,Granville County,59328,14286,0.240796925566343
37151,North Carolina,Randolph County,143118,87524,0.611551307312847
37125,North Carolina,Moore County,97294,18944,0.194708820687812
37179,North Carolina,Union County,231053,31771,0.137505247713728
37163,North Carolina,Sampson County,63385,47394,0.747716336672714
37111,North Carolina,McDowell County,45227,32973,0.7290556525969
37025,North Carolina,Cabarrus County,206615,36536,0.176831304600344
37047,North Carolina,Columbus County,56068,52149,0.930102732396376
37051,North Carolina,Cumberland County,332861,121846,0.366056702347226
37019,North Carolina,Brunswick County,131815,33239,0.252164017752153
37013,North Carolina,Beaufort County,47168,30573,0.648172489823609
37175,North Carolina,Transylvania County,33775,16746,0.495810510732791
37185,North Carolina,Warren County,19898,18633,0.936425771434315
37041,North Carolina,Chowan County,14097,7582,0.537844931545719
37141,North Carolina,Pender County,60399,17579,0.291047865030878
37037,North Carolina,Chatham County,71338,22201,0.311208612520676
37101,North Carolina,Johnston County,196870,76781,0.39000863513994
37143,North Carolina,Perquimans County,13430,2948,0.219508562918838
37035,North Carolina,Catawba County,157613,62518,0.396655098246972
37121,North Carolina,Mitchell County,15004,6064,0.40415889096241
37197,North Carolina,Yadkin County,37602,23197,0.616908675070475
37157,North Carolina,Rockingham County,91077,52676,0.578367754756964
37057,North Carolina,Davidson County,165381,67251,0.406642842890054
37161,North Carolina,Rutherford County,66599,31590,0.474331446418114
37031,North Carolina,Carteret County,69070,19130,0.276965397422904
37123,North Carolina,Montgomery County,27252,23529,0.863386173491854
37043,North Carolina,Clay County,10946,5916,0.540471405079481
37149,North Carolina,Polk County,20557,1102,0.0536070438293525
37053,North Carolina,Currituck County,26363,4043,0.153358874179722
37003,North Carolina,Alexander County,37213,17687,0.475290892967511
37171,North Carolina,Surry County,71971,30903,0.429381278570535
37069,North Carolina,Franklin County,66362,30802,0.464151170850788
37055,North Carolina,Dare County,36222,13319,0.367704709844846
37021,North Carolina,Buncombe County,256886,52399,0.203977639886954
37169,North Carolina,Stokes County,45781,15742,0.343854437430375
37127,North Carolina,Nash County,94030,35357,0.376018292034457
37131,North Carolina,Northampton County,19946,18612,0.93311942244059
37109,North Carolina,Lincoln County,82919,27043,0.326137555928074
37033,North Carolina,Caswell County,22684,11705,0.516002468700406
37189,North Carolina,Watauga County,54925,17916,0.326190259444697
37105,North Carolina,Lee County,60481,27169,0.449215456093649
45083,South Carolina,Spartanburg County,307617,107008,0.347861139013774
45037,South Carolina,Edgefield County,26927,9912,0.368106361644446
45019,South Carolina,Charleston County,401165,110531,0.275525033340396
45021,South Carolina,Cherokee County,56895,34638,0.608805694700765
45075,South Carolina,Orangeburg County,87687,68035,0.775884680739448
45043,South Carolina,Georgetown County,61952,42771,0.690389333677686
45063,South Carolina,Lexington County,290278,64099,0.220819352482792
45013,South Carolina,Beaufort County,186095,63109,0.339122491200731
45065,South Carolina,McCormick County,9531,7450,0.781659846815654
45035,South Carolina,Dorchester County,158299,44562,0.281505252717958
45027,South Carolina,Clarendon County,33957,30915,0.910416114497747
45087,South Carolina,Union County,27490,21970,0.799199708985086
45057,South Carolina,Lancaster County,92308,29700,0.321748927503575
45045,South Carolina,Greenville County,507003,123197,0.242990672639018
45025,South Carolina,Chesterfield County,45953,35556,0.773747089417448
45073,South Carolina,Oconee County,77528,36751,0.474035187287174
45055,South Carolina,Kershaw County,65112,32009,0.491599090797395
45007,South Carolina,Anderson County,198064,53556,0.270397447289765
45001,South Carolina,Abbeville County,24627,14416,0.585373776749097
45031,South Carolina,Darlington County,67027,52984,0.790487415519119
45079,South Carolina,Richland County,411357,114552,0.278473442775983
45051,South Carolina,Horry County,332172,129999,0.391360499981937
45053,South Carolina,Jasper County,28657,21974,0.766793453606449
45085,South Carolina,Sumter County,106757,59412,0.556516200342835
