"num_state","num_county","na_count","tot_build","mu_total_site_energy","med_total_site_energy","mu_total_source_energy","med_total_source_energy","mu_eui","med_eui","mu_area_sq_ft","med_area_sq_ft","year_built_na_count","mean_year_built","cat_state","cat_county","total_cooling_system_type_CE","total_cooling_system_type_miss","total_cooling_system_type_NO","total_cooling_system_type_NONE","total_cooling_system_type_OT","total_cooling_system_type_PA","total_cooling_system_type_RF","total_ee_potential_score_EE_HIGH","total_ee_potential_score_EE_LOW","total_ee_potential_score_EE_MED","total_ee_potential_score_miss","total_heating_system_type_CENTRAL","total_heating_system_type_FLOOR_WALL","total_heating_system_type_FORCED_AIR","total_heating_system_type_GRAVITY","total_heating_system_type_miss","total_heating_system_type_NONE","total_heating_system_type_OTHER","total_heating_system_type_YES","total_heating_fuel_type_Gas","total_heating_fuel_type_miss","total_heating_fuel_type_Oil","total_heating_fuel_type_Unknown","total_building_type_miss","total_building_type_MultiFamily","total_building_type_Other","total_building_type_SingleFamily","total_building_type_SmallCommercial","total_cooling_system_type_EC","total_cooling_system_type_WA","total_heating_system_type_ELECTRIC","total_heating_system_type_GAS","total_heating_system_type_HEAT_PUMP","total_heating_system_type_SPACE_SUSPENDED","total_heating_fuel_type_Electricity","total_cooling_system_type_WU","total_heating_system_type_BASEBOARD","total_heating_system_type_CONVECTION","total_heating_system_type_HOT_WATER","total_heating_system_type_PROPANE","total_heating_system_type_RADIANT","total_heating_system_type_SOLAR","total_heating_system_type_WOOD_BURNING","total_heating_fuel_type_Propane","total_heating_fuel_type_Wood","total_heating_system_type_GEOTHERMAL","total_heating_system_type_OIL","total_heating_system_type_STEAM","total_cooling_system_type_GT","total_heating_system_type_VENT","total_cooling_system_type_CW","total_heating_system_type_COAL","total_heating_fuel_type_Coal","total_heating_system_type_ZONE"
KY,Clay,0,5473,5084.79701514743,5003.5,12410.939601873457,13274.0302734375,422.02564652025484,357.760784646739,638.54217454900038,0,5473,,KY,Clay,651,0,1116,225,1,0,0,140,236,191,0,0,139,1,0,0,257,6,65,82,0,2,1017,0,14,200,1831,6,0,0,0,82,384,432,384,0,0,0,0,539,118,0,0,539,0,0,1,0,0,0,0,27,27,0
KY,Graves,0,28689,600.52219022433519,376.79000854492188,1417.244600515749,746.6300048828125,245.428674071631,205.057396862153,1303.5117862755367,1260,28689,,KY,Graves,7119,0,1116,2158,805,0,0,1050,3165,2990,0,0,364,5640,0,0,3973,2064,318,4597,0,1065,7320,0,3,947,12351,62,0,1886,0,8,368,594,368,0,0,0,14,13,7,0,0,13,0,0,0,0,0,0,0,0,0,0
KY,Casey,0,7710,1243.1673649037089,644.92999267578125,3031.7513867592211,1459.260009765625,420.04882621417909,342.456624621133,900.35514918190574,784,7710,,KY,Casey,900,0,981,935,0,0,0,123,846,619,0,0,208,20,0,0,794,19,1,131,0,0,1971,0,1,280,2800,36,0,254,139,90,568,802,707,0,0,0,21,280,147,0,28,280,28,0,0,0,0,0,0,0,0,0
KY,Floyd,0,8969,5211.1303591237493,4921.669921875,13053.372892459927,13496.2197265625,336.80925740429541,276.097518665735,1549.9686888454012,1112,8969,,KY,Floyd,1687,0,969,2484,82,0,0,229,1732,1088,0,0,170,33,0,0,2383,52,6,1599,0,7,2934,0,0,232,5389,0,0,268,0,1565,283,269,283,0,0,0,3,764,54,0,3,764,3,0,5,0,0,0,0,31,31,0
KY,Barren,0,24878,817.97437341520481,507.27999877929688,2041.9693542864275,1085.5699462890625,308.59447182872071,244.011358799079,2485.2658472672829,2530,24878,,KY,Barren,8615,0,0,6824,0,0,0,940,4624,3008,0,0,96,650,0,0,755,0,11,696,0,27,1170,0,2,1195,14644,187,0,542,15,60,165,144,180,0,0,0,9,13951,164,0,4,13951,4,0,4,0,0,0,0,0,0,0
KY,Bracken,0,7522,856.37241549543853,540.34002685546875,1986.437026725745,1052.3800048828125,370.74984205771437,294.415466920987,1553.0879823052342,1426,7522,,KY,Bracken,1266,0,1406,1289,1,0,0,349,2235,760,0,0,52,1,0,0,1185,54,36,1079,0,192,1772,0,0,497,3522,50,0,84,4,1073,90,370,111,0,0,0,31,816,75,1,96,816,96,16,166,0,0,0,0,3,3,0
KY,Christian,0,36121,703.47233645145911,402.260009765625,1682.4536016491745,778.6400146484375,256.66583893349264,209.248714723449,0.213910552283941,0,36121,,KY,Christian,17161,0,556,2482,20,0,0,0,0,0,0,0,130,0,0,0,2243,65,1023,13331,0,5,3473,0,318,1851,22646,317,0,0,16,13284,345,3,361,3961,0,0,50,7794,9,0,164,7794,164,0,2,0,0,0,0,4,4,0
KY,Henry,0,11928,733.10885490626049,471.33999633789062,1714.4323093563335,924.71002197265625,297.02544687799156,243.887175186821,439.396075707588,0,11928,,KY,Henry,1872,0,671,2886,1,0,0,24,543,217,0,0,97,851,0,0,2694,1213,0,977,0,128,4057,0,11,620,5094,34,0,292,121,241,461,42,582,0,0,0,11,6,11,0,9,6,9,0,2,0,0,0,0,0,0,0
KY,Boone,0,42415,1126.9745651726739,484.239990234375,2883.8369584003176,959.16998291015625,280.52674050317142,232.990990476066,0.0859820485744456,0,42415,,KY,Boone,9,0,2892,3020,0,0,0,0,2,0,0,2,0,34118,1,0,3597,83,0,28769,0,5377,3712,0,842,2513,33957,568,0,428,0,21,12,0,21,0,5,0,0,1,30,0,0,1,0,9,0,1,0,0,0,0,0,0
KY,Fayette,0,103405,611.15483581100625,375.04000854492188,1381.7830676829931,683.8599853515625,204.63528130492915,200.611562263208,1795.7386997160684,1410,103405,,KY,Fayette,86675,0,636,3507,0,0,0,2943,57264,24004,0,85916,12,245,0,0,6192,0,3725,195,0,208,95981,0,2636,4297,87897,1672,0,0,1,5,111,47,112,4285,0,0,153,6,89,0,0,6,0,0,0,0,0,0,0,0,0,0
KY,Lyon,0,6128,1085.5481914244501,536.04998779296875,2803.7977982108969,1268.1400146484375,374.61481347760014,281.059455454815,2.0149885956337577,0,6128,,KY,Lyon,1157,0,74,1537,132,0,0,0,2,0,0,0,9,0,0,0,1036,16,100,996,0,9,1197,0,16,267,2741,45,0,106,0,992,171,20,171,0,0,0,4,662,16,0,29,662,29,0,9,0,0,0,0,5,5,0
KY,Hopkins,0,28743,657.708520185747,390.3900146484375,1605.5625532458375,802.010009765625,276.13186626379144,215.741337362606,1215.8682937365008,1232,28743,,KY,Hopkins,17648,0,75,3273,0,0,0,1132,8009,6574,0,0,114,17841,0,0,3501,0,1090,15798,0,2142,4878,0,197,1881,20673,399,0,2129,35,91,148,132,183,0,0,3,5,8,41,0,137,8,137,0,0,0,0,0,0,4,4,0
KY,Montgomery,0,14869,911.229501741817,531.969970703125,2216.6576048350521,1084.6099853515625,335.69684735300609,260.512405446541,1421.7542380563871,1320,14869,,KY,Montgomery,4379,0,288,6150,28,0,0,63,3792,1132,0,0,42,2263,0,0,6460,52,0,2284,0,38,6740,0,32,860,10061,78,0,140,15,50,1884,150,1934,0,0,0,8,30,36,0,5,30,5,35,1,0,0,0,0,0,0,0
KY,Nelson,0,18555,741.072104233855,402.33999633789062,1814.2291068721343,807.09002685546875,288.52145828762707,221.627152492902,1684.6064984709483,1472,18555,,KY,Nelson,9023,0,1543,1966,129,0,0,579,6923,3392,0,0,693,224,0,0,2317,54,0,1817,0,65,4180,0,94,505,12309,172,0,419,0,1591,4396,398,4396,0,0,0,67,2605,718,0,14,2605,14,0,0,0,0,0,0,3,3,0
KY,Boyd,0,14574,1932.531478853502,712.82000732421875,4902.9694670723893,1765.8699951171875,372.414697807286,298.334641948857,2273.4950776803571,1370,14573,2013,KY,Boyd,9864,0,105,970,309,0,0,963,4415,3621,0,0,1099,10096,0,0,792,398,3,5251,0,4877,2367,0,69,704,11932,297,0,1754,137,28,365,35,502,0,0,0,4,5,40,0,0,5,0,0,0,0,0,0,0,0,0,0
KY,Daviess,0,46804,655.34553480682177,354.76998901367188,1567.0479882075829,666.82000732421875,236.07129374786098,188.848758489126,2443.6313660096766,1392,46804,,KY,Daviess,29521,0,4,4168,0,0,0,1250,19594,11791,0,29154,0,0,0,0,3999,2,2,2853,0,11,33206,0,127,4535,31919,0,0,0,0,2848,108,14,142,1144,7,0,0,344,35,0,11,344,11,34,1,8,34,0,0,14,14,0
KY,Laurel,0,32058,1119.5106466046313,600.6500244140625,2870.8325583175747,1406.6400146484375,389.63961396448667,299.225918194655,1472.4465102856911,1325,32058,,KY,Laurel,12379,0,1821,9141,540,0,0,547,13371,5802,0,0,581,7321,0,0,4710,323,0,6806,0,916,7415,0,226,1137,22424,470,0,376,124,218,8270,899,8394,0,0,0,52,651,902,0,22,651,22,0,131,0,0,0,0,53,53,0
KY,Mercer,0,15916,859.36161200321328,534.80999755859375,2083.6434001546318,1118.780029296875,339.4362912349614,263.800115783079,1429.8260823653645,1382,15916,,KY,Mercer,4513,0,2,3461,0,0,0,195,2637,1421,0,0,869,3103,0,0,551,73,0,3283,0,217,3398,0,45,578,8750,97,0,342,166,189,2397,483,2563,0,0,0,206,0,1422,0,7,0,7,0,2,0,0,0,0,2,2,0
KY,Marion,0,4552,923.00637393048055,496.32000732421875,2266.32207138467,972.780029296875,313.95661066442568,243.643215830111,2471.5304854368924,2340,4552,,KY,Marion,1286,0,160,977,27,0,0,201,317,247,0,0,62,6,0,0,971,67,4,567,0,2,1329,0,3,339,2218,15,0,122,10,555,542,184,552,0,0,0,6,110,41,0,15,110,15,0,2,0,0,0,0,0,0,0
KY,Powell,0,6093,1696.0872634230002,577.04998779296875,4119.7791558144709,1244.3199462890625,380.82932476822043,291.458034893874,1238.7928888888882,1180,6093,,KY,Powell,1247,0,537,1933,562,0,0,79,2433,976,0,0,219,0,0,0,1500,26,195,940,0,5,3053,0,0,383,4117,0,0,61,0,937,267,714,267,0,0,0,3,232,399,0,3,232,3,0,5,0,0,0,0,0,0,0
KY,Breckinridge,0,18021,813.51592104916938,490.14999389648438,1923.5771502090556,975.33001708984375,346.13366469704039,263.911086542816,1276.4007628388511,1260,18021,,KY,Breckinridge,4698,0,433,493,31,0,0,63,2150,936,0,0,939,4243,0,0,701,22,21,4235,0,17,2622,0,17,323,6977,24,0,1684,6,0,441,798,447,0,0,0,9,13,141,0,3,13,3,0,0,0,0,0,0,4,4,0
KY,Robertson,0,2517,980.468699881516,696.969970703125,2379.0771782321494,1640.989990234375,450.07088914556505,397.927501529621,93.0526905829597,0,2517,,KY,Robertson,16,0,9,854,0,0,0,19,13,6,0,0,0,0,0,0,827,0,23,25,0,0,850,0,0,100,792,0,0,0,0,25,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0
